artist_name	artist_id	release_name	release_id	label_name	styles	price	year	artist_page_url	gender	max_release_year	min_release_year	life_span	num_of_releases
.g	6365	other situation	3157774-02	subwoofer	techno	2.08	2016	/artist/1f30ccaa-969d-4c6e-8c94-cb747bea9c9d	Male	2016	2016	0	2
12th floor	288913	salsa 313	1308162-02	raw fusion	broken beat|nu jazz	2.08	2008	/artist/434b9124-f728-4930-b239-c058de370ba3	Male	2008	2005	3	4
2 dope	356288	who do you love	1713012-02	excessive	electro house	5.2	2011	/artist/d44ce479-5f91-4c5f-94c1-a499a80c3d47	Male	2014	1998	16	4
2030	2938589	timeworm	3144574-02	black crow	techno	5.2	2016	/artist/b35a4c40-a746-42ce-aab8-84ab9d75729f	Male	2016	2014	2	2
246	49212	hypernation	3775781-02	fusion	experimental|electronic	7.28	2018	/artist/e5a8b8e7-6320-4b44-8a4b-4b499219ad6b	Male	2018	2015	3	4
2562	462487	aerial	3585292-02	tectonic	bass	10.4	2008	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male	2014	2007	7	9
2tall	1473889	softer diagram	1358458-02	content label	hip hop|r&b	13.52	2008	/artist/02a61df1-32f5-40cc-843d-5334df90a50c	Male	2008	2005	3	3
32 project	9239	root of world	2014643-02	ibadan	deep house	2.08	2003	/artist/3353e7db-98f9-4714-b1e2-0f0a74a2fbfa	Male	2003	2003	0	1
38	25738	money dance	4105755-02	big face	hip hop|r&b	2.08	2019	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male	2019	2018	1	6
60 miles	7036746	satisfy	3737122-02	60 miles music	techno	2.08	2018	/artist/561d854a-6a28-4aa7-8c99-323e6ce46c2a	Male	2018	2017	1	3
68 beats	5595	jack to the bassline	4072204-02	juicy traxx	minimal|tech house	1.04	2019	/artist/5a8f9050-3831-457b-b987-c3b8610a8931	Male	2019	2008	11	17
69	871	the legendary adventures of a filter king	3384288-02	planet e communications	techno	19.76	2010	/artist/00784bd3-de54-49f0-8439-fc388b508040	Male	2013	2010	3	3
7	3870	the middle	3773409-02	major	progressive house	15.6	2018	/artist/ec1ba526-0a6b-47c8-ba4a-e6b66c192a3e	Male	2018	1997	21	6
808 mate	1492798	workshop 15	3844651-02	workshop	deep house	3.12	2013	/artist/87fc3f8d-f656-4957-8b24-9ebfe2c8826c	Male	2013	2013	0	1
