artist_name	artist_page_url	gender	born	area	external_links
Jon Hopkins	/artist/0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd	Male	15.08.79	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q903592', 'songkick': 'https://www.songkick.com/artists/298044-jon-hopkins', 'residentadvisor': 'https://www.residentadvisor.net/dj/jonhopkins'}
Maceo Plex	/artist/0ab688fd-0943-41cd-a24c-78ec2baad3fd	Male		United States	{'residentadvisor': 'http://www.residentadvisor.net/dj/maceoplex'}
Tessela	/artist/8edb0cb6-af66-46e2-b8f4-5019089132cc	Male		United Kingdom	{'residentadvisor': 'http://www.residentadvisor.net/dj/tessela'}
Karen Gwyer	/artist/ffe3669b-85f3-470d-906e-808e76e95937	Female			{}
Psyk	/artist/f9c60791-a9ab-48ec-8824-170c42ea4466				{}
2ManyDJs	/artist/68ec1b08-3c2e-40b3-b0af-8f323743fdff		1993	Belgium	{'wikidata': '//www.wikidata.org/wiki/Q1288216', 'songkick': 'https://www.songkick.com/artists/3715721-soulwax', 'residentadvisor': 'https://www.residentadvisor.net/dj/soulwax'}
Nina Kraviz	/artist/5dd3cf5b-474d-465a-a539-456d7e125ebc	Female		Russia	{'wikidata': '//www.wikidata.org/wiki/Q14829032', 'residentadvisor': 'http://www.residentadvisor.net/dj/ninakraviz'}
Carlos Souffront	/artist/c64b6f8c-4cb1-43ec-ab12-c6281375fb73			France	{}
Underworld	/artist/ba2f4f3b-0293-4bc8-bb94-2f73b5207343		1987	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q849429', 'songkick': 'https://www.songkick.com/artists/462490-underworld', 'residentadvisor': 'http://www.residentadvisor.net/dj/underworld'}
Julietta	/artist/2ab3d44b-2df4-48ae-8c95-9e5423d7a40d	Female			{}
Kyle Hall	/artist/f5b7ae86-df43-4377-8475-5e7a69c33c44	Male	17.07.91	United States	{}
Nick Curly	/artist/ca33090a-4750-4f6b-adc0-9047fbcaa5bf	Male			{}
Eclair Fifi	/artist/178e684a-2630-4378-8824-2991d4bff13e				{}
Dusky	/artist/9feea1d6-3e4e-4d3c-b84a-87a12f7cbf94			United Kingdom	{}
Hito	/artist/3969a8a9-c140-445a-9545-126849f23663				{}
Wehbba	/artist/e04887f6-78ce-4164-859b-7de28ae6f7c0	Male		Brazil	{'residentadvisor': 'https://www.residentadvisor.net/dj/wehbba'}
Lee Van Dowski	/artist/683fd8a9-010e-450c-a3d1-91a8607e8287	Male		France	{}
Monika Kruse	/artist/52718ad6-dbf9-422e-889e-e251589ffa26	Female	23.07.71	Germany	{'wikidata': '//www.wikidata.org/wiki/Q71376'}
Margaret Dygas	/artist/5d97692e-d1ce-40c9-8395-44d85d51ba15	Female		Poland	{}
High Contrast	/artist/889b69e3-7b18-4889-b953-9f2931597204	Male	18.09.79	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q538289'}
Juliet Fox	/artist/2e57e497-6432-482a-b370-799108cf18b5	Female		Australia	{'residentadvisor': 'https://www.residentadvisor.net/dj/julietfox'}
Max Cooper	/artist/2d68f237-4e00-424a-a03e-d16993d1da15	Male	1980	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q6794665', 'residentadvisor': 'http://www.residentadvisor.net/dj/maxcooper'}
Mike Huckaby	/artist/cce15a87-fa96-459d-9e10-e4fd03acc703				{}
Nicole Moudaber	/artist/daf952d5-b5fa-4d58-91a3-3ca23956ee58	Female		United Kingdom	{}
Uner	/artist/1417d7d2-1070-4e04-a766-a6741b34f0e0				{}
Jackmaster	/artist/68c4ce01-99ff-4a51-b839-54a15aa81a9a	Male	1.11.86	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q18619316'}
Binh	/artist/5ad3aaeb-2e5e-40e5-95db-68dbc286e661				{}
Scott Grooves	/artist/ea3311b3-a0f3-43ab-88ac-43a4e32692d5	Male		United States	{}
Kim Ann Foxman	/artist/334f3782-ae66-4485-8ae2-a90874455319				{}
Oneman	/artist/57fc78c9-d5ff-417a-848f-4ba419109aab	Male		United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q5205394'}
Gardens Of God	/artist/970020fd-d8de-4470-afff-2a55992f7966	Male			{}
Tin Man	/artist/2c0d04a8-f389-4e49-a9ca-82e29f60ff52	Male	1978	Wien	{'residentadvisor': 'https://www.residentadvisor.net/dj/tinman'}
Luke Slater	/artist/2dea2870-5f17-42f7-ac32-d76ccde70dbd	Male	12.06.68	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q1877065', 'residentadvisor': 'https://www.residentadvisor.net/dj/lukeslater'}
Hudson Mohawke	/artist/3d403d44-36ce-465c-ad43-ae877e65adc4	Male	11.02.86	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q5928796'}
Truncate	/artist/e5bd3c6a-faca-47d1-a8bd-90aac7cf9c8a	Male		United States	{'residentadvisor': 'https://www.residentadvisor.net/dj/truncate'}
Sigha	/artist/9400877b-1585-4c12-a3e4-c5f8c713bdd1	Male		London	{'residentadvisor': 'http://www.residentadvisor.net/dj/sigha'}
Wolfgang Voigt	/artist/1cc6e6ad-2680-4399-a8f1-3dfd6f69e651	Male	1961	Germany	{'wikidata': '//www.wikidata.org/wiki/Q85367'}
Art Department	/artist/0fc04d4a-e795-49b3-814b-02f751766667			Canada	{'wikidata': '//www.wikidata.org/wiki/Q2864521', 'residentadvisor': 'https://www.residentadvisor.net/dj/artdepartment'}
Hector Couto	/artist/2d2fc0c2-a056-41f1-b8cb-14af6bba340b	Male		Spain	{'residentadvisor': 'http://www.residentadvisor.net/dj/hectorcouto'}
Dave Seaman	/artist/dbc997aa-da05-4dd3-a36d-a07af8f862d7	Male	29.04.68	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q1173336'}
Mimi Love	/artist/3df1533d-f763-4ae7-b0cf-4f0eac619bcb	Female	14.09.85	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q2779747'}
Barem	/artist/69fe07b3-920c-4b72-af6a-a13dddc0b63a				{}
Paco Osuna	/artist/bf6335a3-9dc3-46bf-844a-fdb432ddefd5	Male		Spain	{'residentadvisor': 'https://www.residentadvisor.net/dj/pacoosuna'}
Butch	/artist/fb2fce00-ab43-4017-8d03-d1da2533ab85	Male		Germany	{}
DJ Shiva	/artist/e475c4b2-c055-4701-81c2-e5a1aa47f02f			United Kingdom	{}
Cinthie	/artist/846f980d-246b-4087-840b-ce8d21dd574b	Female		Berlin	{'songkick': 'https://www.songkick.com/artists/714729-cinthie', 'residentadvisor': 'https://www.residentadvisor.net/dj/cinthie'}
Silent Servant	/artist/d31b6d1e-9d0c-4766-80c7-c92c237bb0dd	Male		United States	{'wikidata': '//www.wikidata.org/wiki/Q17096221'}
HVOB	/artist/9645d671-aafd-44bc-8b1e-1bf9ebdb5336		2012	Austria	{'wikidata': '//www.wikidata.org/wiki/Q17123599', 'residentadvisor': 'http://residentadvisor.net/dj/hvob'}
Nicolas Lutz	/artist/e955e6bc-0ed9-4180-86ac-250894ca130f				{}
Clouds	/artist/1dc3c12f-0726-4f60-beb4-6acf350c28d1		1989	Australia	{'wikidata': '//www.wikidata.org/wiki/Q7723503'}
John Digweed	/artist/68cac857-3147-43d0-879e-c63dc9c82014	Male	1.01.67	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q303847', 'songkick': 'https://www.songkick.com/artists/12448'}
Pearson Sound	/artist/3154fd5f-f5dc-40a1-9a8a-855c7084a8d6	Male		United Kingdom	{}
RAMZi	/artist/0682e8bf-7b0c-4d3a-85d3-974c7cef2da9	Female		Montreal	{}
Lovebirds	/artist/e72470b6-f6ef-49e1-b4f9-e46ee415ce4e	Male	1977	Hamburg	{}
James Murphy	/artist/6b70c46c-5c83-4cc7-99c1-e76b68919c6a	Male	4.02.70	United States	{'wikidata': '//www.wikidata.org/wiki/Q3101632'}
Guy Gerber	/artist/69c075c0-3c49-4143-8aa8-fdfbacac3b08	Male	1974	Israel	{'wikidata': '//www.wikidata.org/wiki/Q1557483'}
Legowelt	/artist/764eb299-d4a6-4a9d-af8b-d0dcf7b3d3ca	Male		Netherlands	{'wikidata': '//www.wikidata.org/wiki/Q329267'}
Tiefschwarz	/artist/6b21d6fd-4cec-479e-a1d4-a71b0f7ed6d4		1996	Germany	{'wikidata': '//www.wikidata.org/wiki/Q1512418'}
Nima Gorji	/artist/1180b8e0-4976-468c-9b45-7c25f397b330	Male	1972	Denmark	{}
Craig Richards	/artist/85873c02-8093-4a5a-91bc-513722b3fbc0	Male	1966	United Kingdom	{'wikidata': '//www.wikidata.org/wiki/Q5181367'}
Premiesku	/artist/4562057a-6abb-4b73-b6e0-b59f64b86b5b				{}
Zozo	/artist/c306b6a9-601f-4ada-83a1-6462fe0bf869	Male		Houston	{}
Fritz Kalkbrenner	/artist/3d2d0086-c32c-4d75-a1ab-9a5cd5f6b341	Male	1981	Germany	{'wikidata': '//www.wikidata.org/wiki/Q48617', 'songkick': 'https://www.songkick.com/artists/635959-fritz-kalkbrenner', 'residentadvisor': 'http://www.residentadvisor.net/dj/fritzkalkbrenner'}
