artist_name	artist_page_url	gender	born	position	genres	site	booking	external_links
Upsammy	/artist/102433:upsammy	vrouw	Nederland	DJ	ambient, electro			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/upsammy', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1417774441860524'}
Anthony Naples	/artist/75344:Anthony-Naples	man	Verenigde Staten	DJ, live act	house, techno		http://www.surefireagency.com/	{'twitter': 'https://partyflock.nlhttps://twitter.com/_anthonynaples'}
James Holden	/artist/107456:James-Holden-and-The-Animal-Spirits		Verenigd Koninkrijk	band	jazz, progressive trance			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/jamesholdentheanimalspirits'}
Marcel Fengler	/artist/48333:Marcel-Fengler	man	Duitsland	DJ	techno		http://ostgut.de/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/marcel-fengler', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/marcel-fengler/id309704430', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/161687607234760'}
Mirella Kroes	/artist/38018:Mirella-Kroes	vrouw	Nederland	DJ	house, techno		https://www.meanwhile.nl/artist/mirella-kroes/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/mirella-kroes', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/192066107501745', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/Mirellakroes', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/mirella.kroes/'}
Eddie C	/artist/69454:Eddie-C	man	Canada	DJ	deephouse, disco		http://www.lovecity-central.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/eddiec', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/113541568696320'}
Phase Fatale	/artist/89031:Phase-Fatale	man	Duitsland	DJ	techno	http://phasefatale.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/phasefatale', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/706766572677187'}
Caribou	/artist/53346:Caribou	man	Canada	DJ, live act, groep		http://www.caribou.fm/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/caribouband', 'twitter': 'https://partyflock.nlhttps://twitter.com/caribouband', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/256045297820', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/CaribouVideos'}
Latmun	/artist/95878:Latmun	man	Verenigd Koninkrijk	DJ, live act, producer	house, techhouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/latmun', 'twitter': 'https://partyflock.nlhttps://twitter.com/latmun', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/149917225162669', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/latmundj/'}
Dyed Soundorom	/artist/63328:Apollonia	man	Frankrijk	DJ, groep	deephouse, techhouse, techno		http://www.lola-ed.com/labels/apollonia	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/apolloniamusic', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/260937733979247'}
Dave Aju	/artist/53937:Dave-Aju	man	Verenigde Staten	DJ, live act			http://magnet-musik.de/	{'facebook': 'https://partyflock.nlhttps://www.facebook.com/121620111246957'}
Zozo	/artist/99491:Zozo	vrouw	Turkije	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/zozo-on-soundcloud', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1520224024939876'}
