Victor Franco								
Carlos Pashe								
Dunkel	/artist/90598:Onkel-Dunkel	man	Denemarken	live act	darkpsy, psytrance			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/onkeldunkel', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/134879576602375'}
Scott Phrenetik								
Louis Baca								
District 21								
Mirka	/artist/98382:Mirkan	man	Nederland	DJ				{'facebook': 'https://partyflock.nlhttps://www.facebook.com/100000591733164'}
Malux	/artist/99269:Malux		Verenigd Koninkrijk	DJ	drum & bass			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/maluxdnb', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/maluxdnb/', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1034972663209089', 'twitter': 'https://partyflock.nlhttps://twitter.com/maluxdnb'}
George Topuridze								
Rapunzel	/artist/65611:Rapunzel	vrouw	Chili	DJ, live act	groove, house, techno	http://danielahaverbeck.com/		{'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/fideliomask', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/danielahaverbeck', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/53889643716', 'itunes': 'https://partyflock.nlhttp://itunes.apple.com/artist/daniela-haverbeck/id214633253'}
Raigo Smith								
Rado Ivanov								
Steve Mostly								
Lady Aida	/artist/195:Lady-Aida	vrouw	Nederland	DJ		http://www.rebelbass.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/rebelbass', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/68203701207', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/rebelbass'}
Marcelo CIC	/artist/94908:Marcelo-CIC	man	Brazilië	DJ				{'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/marcelocicofficial', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/158825520852133', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/3RThIK0WrG9gQBXXvBKpQu'}
Michael Cross								
Ruan van der Sande								
Mentally ILL								
Sebastian Meinhold								
Xara	/artist/89870:Xara	vrouw	Duitsland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/xara-music-xara', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/306540102783710'}
Nick Varon	/artist/90009:Nick-Varon	man	Spanje	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/nick-varon', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/110981798952520', 'twitter': 'https://partyflock.nlhttps://twitter.com/NickVaron'}
Strip	/artist/122847:Ska-and-Stripes	man		DJ, groep	hip hop, urban			{}
Juan Kue								
Vitreous								
Ley Low								
Event Horizon	/artist/73783:Event-Horizon	man	Nederland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/enter_the_voodoo/sets/event-horizon-sets', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/423129534432627'}
Luis Ruiz								
Kino (1)								
Vincent Vinyl	/artist/29156:VinylR	man	Nederland	DJ	darkcore, hardcore, industrial hardcore			{}
Daisuke Matsukura								
Holosound								
NI:KO								
Wisdy	/artist/97158:Wisdy	man	Indonesië	DJ	house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/wisdy', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1497611385', 'twitter': 'https://partyflock.nlhttps://twitter.com/wisdy'}
Bjorn Wolf	/artist/37692:Bjorn-Wolf	man	Nederland	DJ, producer	deephouse, house, techhouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/bjorn-wolf-1', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/292128564237553', 'twitter': 'https://partyflock.nlhttps://twitter.com/BjornWolf'}
Oliver Klostermann								
Eric Loom	/artist/71996:Eric-Loom	man	Duitsland	DJ	techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/eric-loom', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/223154401036474', 'twitter': 'https://partyflock.nlhttps://twitter.com/EricLoom'}
Sebastian Kratzke								
Joseph Sylthe								
Morodertalking								
Hannes_h								
Beats n Mustard								
Undy and Carter								
GlamouRatz								
Nick B	/artist/12904:Nicky-B	man	Nederland	DJ	darkcore, hardcore, industrial hardcore, oldschool			{'facebook': 'https://partyflock.nlhttps://www.facebook.com/100001854571488'}
DJ Mumbles								
MG & Jeff Souza	/artist/111790:Bryan-MG	man	België	rapper				{'facebook': 'https://partyflock.nlhttps://www.facebook.com/438916733185483', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/1PyToLP6F2rzV0ZSR71lgl', 'twitter': 'https://partyflock.nlhttps://twitter.com/bryanmg_', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/bryanmg_/'}
hkee								
Mikey Terra								
Lùzja								
Partenaire								
Elon	/artist/45690:Elon	man	Verenigde Staten	DJ, live act	minimal			{'facebook': 'https://partyflock.nlhttps://www.facebook.com/24870030474'}
Tom York								
Emerson	/artist/102447:Emerson	man	Duitsland	DJ	techno			{'youtube': 'https://partyflock.nlhttps://www.youtube.com/effekthascher78', 'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/djemerson', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/141307569243690', 'twitter': 'https://partyflock.nlhttps://twitter.com/meDJEmerson'}
The Citizen's Band	/artist/69452:The-Citizens-Band	man	Duitsland	live act	deephouse			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/live-at-robert-johnson/sets/thecitizensband/'}
James Bok								
Matt Drake								
DnC Groove								
Said Medina								
E-PUNK								
Klaxil								
Golden Rules								
Ape Drums	/artist/96426:Ape-Drums	man	Verenigde Staten	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/apedrums', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/229697803781928', 'twitter': 'https://partyflock.nlhttps://twitter.com/apedrums?lang=en'}
James Halpin								
Stu Todd								
Dj Blue								
Yogi Man								
Ovidiu Adrian								
DJ TAMA a.k.a. SPC FINEST								
Vasco Ispirian	/artist/104922:Vasco-Ispirian	man	Spanje	DJ				{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/ispirian', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/1140857486'}
Leo Janeiro	/artist/22533:Leo-Janeiro	man	Brazilië	DJ, 3 × live act	techno			{'facebook': 'https://partyflock.nlhttps://www.facebook.com/207644499291914', 'twitter': 'https://partyflock.nlhttps://twitter.com/leo_janeiro'}
Rondenion								
Tarek Charbonnier								
