	artist_name	artist_id	release_name	release_id	label_name	styles	price	year	artist_page_url	gender
0	!!!	7036709	hello? is this thing on?	3403309-02	touch and go	indie	3.12	2004	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
1	!!!	7036709	dancing is the best revenge	3412156-02	warp	indie	1.04	2017	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
2	!!!	7036709	r!m!x!s	2332976-02	warp	funky|club house	7.28	2013	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
3	!!!	7036709	shake the spanish	3570530-02	warp	indie	2.08	2017	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
4	!!!	7036709	& anyway it's christmas	2348144-02	warp	disco|nu-disco	2.08	2013	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
5	!!!	7036709	all u writers/gonna guetta stomp	2776492-02	warp	disco|nu-disco	2.08	2015	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
6	!!!	7036709	as if	2912521-02	warp	indie	11.44	2015	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
7	!!!	7036709	the one 2	3380370-02	warp	indie	1.04	2017	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
8	!!!	7036709	shake the shudder	3430001-02	warp	indie	12.48	2017	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
9	!!!	7036709	one girl/one boy	2177411-02	warp	funk	1.04	2013	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
10	!!!	7036709	thr!!!er	2187078-02	warp	rock	9.36	2013	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
11	!!!	7036709	jamie my intentions are bass	1651285-02	warp	disco|nu-disco	6.24	2010	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
12	!!!	7036709	must be the moon	1368354-02	warp	electro house	3.12	2007	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
13	!!!	7036709	yadnus ep	1368365-02	warp	electro house	5.2	2007	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
14	!!!	7036709	myth takes	1320974-02	warp	rock	10.4	2007	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
15	!!!	7036709	the most certain sure	1620410-02	warp	disco|nu-disco	2.08	2010	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
16	!!!	7036709	slyd	2139184-02	warp	experimental|electronic	1.04	2013	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
17	!!!	7036709	happiness is a warm yes (it is)	3720006-02	warp	disco|nu-disco	1.04	2018	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
18	!!!	7036709	megam!!!x vol 1: shake shake shake	3720008-02	warp	disco|nu-disco	11.44	2018	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
19	!!!	7036709	take ecstasy with me	3122925-02	touch and go	indie	2.08	2005	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
20	!!!	7036709	me & guiliani down by the school yard	3123567-02	touch and go	rock	2.08	2003	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
21	!!!	7036709	pardon my freedom	3122938-02	touch and go	rock	3.12	2004	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
22	!!!	7036709	louden up now	3122934-02	touch and go	rock	11.44	2004	/artist/f26c72d3-e52c-467b-b651-679c73d8e1a7	
23	buzz aldrin	4577	buzz aldrin	3917753-02	unhip	indie	9.36	2010	/artist/7a9abed2-28ac-4fb8-976b-e0144d18ab37	
24	e	228032	the levitation syndrome	3050182-02	artoffact	coldwave|synth	10.4	2016	/artist/c837a962-2467-4193-b905-00dd3b9b07d7	
25	e	228032	border radio	3917642-02	unhip	indie	10.4	2008	/artist/c837a962-2467-4193-b905-00dd3b9b07d7	
26	###	3582753	sara	1255992-02	feinwerk	electro	3.12	2007		
27	*ar	7036710	earth by means of the currents	3333156-02	corbel stone press	ambient|drone	2.08	2017	/artist/bd2fe37f-5744-4042-b1c4-d79b4fcbcacf	
28	.g	6365	other situation	3157774-02	subwoofer	techno	2.08	2016	/artist/6d29d350-636c-426f-b581-2d3cee675af5	
29	.g	6365	unnecessary songs	3071778-02	subwoofer	techno	3.12	2016	/artist/6d29d350-636c-426f-b581-2d3cee675af5	
30	000	2332918	stir shadows ep	3674163-02	advanced	techno	4.16	2018	/artist/7b9b80be-f3fc-4b00-baf4-d2c64fb740cc	Female
31	000	2332918	release union	2156353-02	sleep is commercial	minimal|tech house	8.32	2013	/artist/7b9b80be-f3fc-4b00-baf4-d2c64fb740cc	Female
32	000	2332918	hollowing out	1975761-02	sleep is commercial	minimal|tech house	5.2	2012	/artist/7b9b80be-f3fc-4b00-baf4-d2c64fb740cc	Female
33	000	2332918	river bank	2064939-02	what now becomes	minimal|tech house	3.12	2012	/artist/7b9b80be-f3fc-4b00-baf4-d2c64fb740cc	Female
34	000	2332918	outside exploration	2340686-02	msen project	deep house	2.08	2014	/artist/7b9b80be-f3fc-4b00-baf4-d2c64fb740cc	Female
35	051 destroyer	2656563	nrol 39	3863650-02	lunar orbiter program	electro	4.16	2018	/artist/ed7b3e47-82fc-43e3-b670-f8251cf66bde	
36	1000volts	7036711	monster (explicit)	3493717-02	firepower	dirty dubstep|trap|grime	1.04	2017	/artist/2c43ce18-53f8-4418-aaeb-518d0ed70552	
37	1000volts	7036711	monster (explicit remixes)	3598457-02	firepower	dirty dubstep|trap|grime	3.12	2017	/artist/2c43ce18-53f8-4418-aaeb-518d0ed70552	
38	1000volts	7036711	bitch i'm lit	3272526-02	super 7	dirty dubstep|trap|grime	1.04	2016	/artist/2c43ce18-53f8-4418-aaeb-518d0ed70552	
39	1000volts	7036711	lights out	3192434-02	super 7	dirty dubstep|trap|grime	1.04	2016	/artist/2c43ce18-53f8-4418-aaeb-518d0ed70552	
40	101 force	983	tha return	1413989-02	breakin'	minimal|tech house	4.16	2007	/artist/45156152-e74a-49d0-8a03-48b77beae772	
41	12 to 30	1728034	orchestral dimensions	3336918-02	sistrum	deep house	3.12	2017	/artist/d8354b38-e942-4c89-ba93-29323432abc3	
42	12th floor	288913	salsa 313	1308162-02	raw fusion	broken beat|nu jazz	2.08	2008	/artist/434b9124-f728-4930-b239-c058de370ba3	Male
43	12th floor	288913	don't this blow your mind	1308167-02	raw fusion	broken beat|nu jazz	2.08	2008	/artist/434b9124-f728-4930-b239-c058de370ba3	Male
44	12th floor	288913	get down	1308168-02	raw fusion	broken beat|nu jazz	2.08	2008	/artist/434b9124-f728-4930-b239-c058de370ba3	Male
45	12th floor	288913	terrestrial journey ep	1257202-02	deeplay soultec	minimal|tech house	2.08	2005	/artist/434b9124-f728-4930-b239-c058de370ba3	Male
46	16c+	7036712	guarantee	2092876-02	sixteen blonds	progressive house	2.08	2012	/artist/b590cc22-8484-422e-a167-e23657a88ec1	
47	16c+	7036712	under 4 ever	2058361-02	sixteen blonds	progressive house	2.08	2012	/artist/b590cc22-8484-422e-a167-e23657a88ec1	
48	16c+	7036712	big time	1991474-02	sixteen blonds	minimal|tech house	2.08	2012	/artist/b590cc22-8484-422e-a167-e23657a88ec1	
49	17 pygmies	7036713	jedda by the sea & hatikva	2196422-02	ltm	broken beat|nu jazz	17.68	2013	/artist/43e57c4b-402c-46fa-900b-8f9633742142	
50	187 lockdown	7036714	kung fu	1950552-02	the  rsia	minimal|tech house	1.04	2012	/artist/c692d339-646b-4b66-bb17-2124d62afb5c	
51	187 lockdown	7036714	gunman	1912890-02	the  rsia	uk garage	1.04	2012	/artist/c692d339-646b-4b66-bb17-2124d62afb5c	
